pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
1488.836532,1.347416,-0.338574,3060.794922,0
46648.024974,1.083130,2.932314,76793.132812,2
20712.489756,1.053114,2.944462,33299.910156,2
8276.865400,1.082146,-1.246076,13615.631836,1
13379.671203,0.706787,-3.032515,16863.599609,2
27510.404073,1.037558,2.918427,43695.484375,2
8334.427642,1.168701,0.538301,14705.005859,1
9717.217621,1.065474,-1.306930,15775.441406,1
7476.009668,0.006310,2.797534,7477.460938,0
10930.877786,0.681051,-3.124538,13566.143555,2
13002.232103,1.020476,2.964853,20381.074219,2
2980.876442,0.390533,2.993681,3214.127930,2
6753.867937,1.060889,-1.362893,10925.566406,1
10054.837468,1.297325,0.425917,19772.111328,1
5619.236375,0.961849,-1.198763,8426.402344,1
8440.329322,1.038246,2.925794,13413.818359,2
2790.220767,1.042570,-1.385064,4451.257812,1
2601.672806,1.160429,0.698747,4561.118652,1
6981.757518,1.227589,0.434191,12937.916016,1
657.861401,1.651838,-2.570733,1784.408569,0
7460.479334,1.261577,-1.325216,14228.537109,1
3860.279667,1.212933,0.508681,7066.964355,1
2377.645710,0.507867,-3.053018,2694.542236,2
1887.553919,0.070740,-1.004454,1897.418945,0
6023.109604,1.335464,0.408252,12242.148438,1
1764.399853,1.120621,-1.414068,2996.410645,1
2095.046112,-0.222107,0.220731,2151.466797,0
549.729187,-0.658281,2.603705,687.516846,0
3762.126264,-0.100495,-1.001412,3783.714600,0
661.015037,-2.285447,0.990588,3285.502930,0
1933.818954,1.159279,1.036566,3388.360840,0
1933.598590,0.533778,-1.116440,2220.052246,0
2406.490047,0.687435,-3.084362,3001.098389,2
1972.935697,0.450923,-2.754973,2181.406982,2
2002.220779,-1.220006,-1.712679,3689.167725,0
2983.843427,0.811188,-1.276170,4023.017090,1
2241.237421,0.719295,-2.925938,2849.881592,2
1562.948246,0.446163,2.705989,1726.756958,3
3359.613574,0.771742,-1.404189,4412.940918,1
3345.866669,1.546899,0.575772,8214.936523,1
1363.708847,0.295925,3.038169,1430.681274,2
2705.161080,0.760400,-1.386514,3528.412598,1
1471.236260,-0.222838,0.406978,1514.361450,0
3261.106011,-0.742974,0.189180,4205.677734,0
560.604665,2.451935,-1.268407,3281.643799,0
1183.798569,1.358244,0.579206,2458.258545,1
1334.829089,0.148982,3.005775,1356.867554,3
1089.999250,0.818612,0.761163,1482.657715,0
2319.016780,0.969970,2.901192,3500.972412,2
2149.281074,1.016859,0.067381,3362.468262,0
1897.308293,0.018945,-3.123254,1902.774536,0
1312.595584,0.104447,-0.692507,1327.121338,0
1185.977729,1.408154,0.110773,2573.207275,1
7728.521110,0.450560,-2.985244,8527.486328,2
725.044937,1.117209,1.155983,1234.510864,0
1679.162987,0.516496,2.669961,1913.257568,3
522.751875,0.897915,2.498442,760.940613,3
1182.904283,0.554645,0.317527,1376.659302,0
714.332072,0.874529,-1.113431,1014.994080,1
1024.777714,1.851709,0.886996,3347.615479,0
1400.956467,1.367676,0.461434,2931.963867,1
1215.903008,0.562396,3.070951,1420.188232,2
1306.973827,0.223875,2.918405,1347.113403,3
409.015962,1.689274,-0.112116,1153.758911,0
2154.104558,-0.387297,0.294028,2321.889648,0
492.334674,1.631821,2.806486,1314.272705,0
650.506154,0.240440,-2.554415,683.795654,0
784.816459,0.602715,0.382825,942.128235,0
813.974467,0.535077,-3.055825,943.682739,2
638.314751,0.272651,-1.180901,676.736694,0
460.627848,0.511241,-0.326666,540.478821,0
654.412216,0.892949,-1.167411,943.495972,1
783.345035,0.810276,-0.686246,1064.070801,0
640.617240,0.463232,-2.946012,724.165222,2
454.822639,1.223764,-0.804388,851.591431,0
702.546753,1.669159,0.317361,1935.675171,1
519.000172,-0.363403,2.593041,570.970215,0
512.844616,1.692804,1.153973,1447.505371,0
451.899280,1.722692,0.725058,1313.013794,0
454.397994,1.483583,1.406325,1062.396973,0
442.098890,-0.459201,-3.000704,509.043060,0
1224.396249,0.246357,0.991397,1269.435913,0
1991.460172,0.786900,-3.083237,2644.192627,2
721.683567,1.956613,-2.107502,2607.810547,0
986.397465,-0.024075,-2.691016,996.505798,0
4631.190558,1.548912,0.662977,11390.866211,1
1422.155225,0.649443,3.013705,1738.373291,2
2158.573841,-0.416505,0.010184,2352.670410,0
1442.838695,-0.387676,0.382049,1558.888184,0
604.210536,-2.260895,-2.704133,2932.515137,0
441.006154,-0.490357,-0.414652,514.393738,0
473.108443,1.319335,0.318330,958.385010,1
1534.306880,0.363064,-0.875298,1642.486084,0
5990.265588,0.451358,-2.909857,6612.348145,2
3090.817375,1.308625,0.407654,6138.823730,1
2969.435733,1.322621,0.726407,5969.727539,1
1130.355858,1.388872,0.623978,2411.520020,1
2572.745663,1.351289,0.072912,5303.375488,1
3021.776934,-1.029969,-1.857796,4773.423340,0
558.763293,1.031719,-2.848104,894.439026,3
4894.970491,-0.022529,-0.972987,4898.201660,0
2027.230832,1.323554,0.356228,4080.097168,1
3358.297425,-1.010991,-1.830412,5227.677734,0
