pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
15573.541919,-1.676419,0.674123,43087.707031,2
931.468245,-2.237124,2.808285,4414.163574,0
58123.414674,2.216777,-2.347674,269886.406250,1
753.824891,2.030045,-1.260719,2922.805908,0
778.640569,2.289826,2.108745,3885.783691,0
520.748739,2.074448,1.058992,2109.950684,0
11550.055410,-1.659975,0.586804,31470.306641,2
889.300621,-2.306752,-1.150645,4511.508789,0
539.973113,-2.338561,-2.751420,2828.253174,0
858.467980,-2.363709,3.015831,4605.381836,0
22158.858127,2.203527,-2.322937,101568.671875,1
6351.336433,-1.613065,1.724082,16569.458984,2
19955.943175,2.211126,-2.357167,92152.257812,1
1503.571995,1.871381,0.604487,5002.208008,0
490.331043,2.225488,-0.904951,2300.460449,0
707.647833,-1.183808,-2.131852,1271.859375,0
14211.993144,-1.583229,1.771178,36070.089844,2
3966.845301,-1.447002,-2.399639,8897.990234,0
2496.506990,2.458591,-1.688640,14697.450195,0
2757.838272,-1.604630,1.735443,7140.001465,2
1911.004179,2.120770,0.439702,8082.361328,0
2375.746323,-0.846577,0.391470,3282.130371,0
557.519220,-1.652072,2.828446,1514.376465,0
1148.425533,-1.592211,1.345557,2942.179199,3
5192.731271,-1.518729,1.864738,12425.454102,2
1416.870838,-1.693972,1.835404,3987.278076,2
11354.698078,-1.483665,1.732733,26319.880859,2
512.461474,2.206324,2.226286,2359.500732,0
1766.569978,-0.212780,1.530424,1812.094971,0
1507.301000,-0.329607,0.241182,1596.036621,0
922.254499,-2.048338,0.958389,3638.182617,3
4114.457292,-1.535377,-2.366455,9995.920898,0
1847.182817,-0.663503,0.189379,2273.207275,0
627.173999,-1.741074,2.776066,1848.789551,0
2564.917052,-1.519406,1.714886,6142.451172,2
1790.545961,0.869996,-1.736697,2515.879395,0
726.679472,0.285413,1.906581,769.246399,0
429.940083,-2.025450,-1.891057,1663.597656,0
1350.880520,-0.550676,-2.872153,1567.159912,0
3666.315126,-1.586537,1.779059,9334.434570,2
490.230610,-2.129368,1.779409,2095.110596,3
649.322932,-0.531871,0.282937,756.340271,0
990.604211,-1.623831,-1.445734,2613.785645,0
476.631232,-1.937161,1.606108,1693.781372,3
1188.652766,-1.790416,2.112508,3663.017334,3
403.273815,-1.343697,-3.037722,837.230957,0
880.424539,1.989095,2.406208,3280.675049,0
588.450281,-1.274917,3.004726,1143.627563,0
955.183450,2.117513,-3.141307,4028.885010,0
463.201614,2.107832,1.354054,1939.330811,0
936.875828,1.313689,0.443989,1873.662476,0
477.774621,0.450795,1.855392,545.311584,0
595.035643,-0.257382,-1.390127,630.495911,0
808.474195,0.292230,2.228372,854.714294,0
1527.155893,2.450813,-2.269827,8922.736328,1
930.087945,2.308804,0.668217,4727.725098,0
650.302470,0.332760,0.354232,700.680847,0
418.641509,-2.217528,0.397376,1950.317871,3
415.113855,-1.612739,2.550152,1091.549927,0
708.517184,1.843852,-1.038828,2299.496582,0
566.126891,0.018130,-0.493812,583.167908,0
567.050066,-1.819496,0.632783,1800.373657,2
605.678795,2.014757,-2.737468,2315.558594,0
538.426745,1.201407,-0.517007,985.977966,0
494.628051,1.182752,0.541512,893.819824,0
512.931640,0.927505,3.067363,762.716187,0
552.768515,-0.604674,0.962939,671.602478,0
694.028656,-2.471086,-0.239876,4138.690430,0
465.271129,2.413853,-1.947547,2624.682129,0
452.832412,-1.615005,1.637022,1191.635010,2
441.376374,1.959393,-1.884744,1602.979370,0
1255.212934,-1.747981,-0.056338,3716.246582,0
411.635679,1.645875,0.210487,1115.732056,0
473.098206,-0.294769,2.457484,513.146362,0
428.263802,-2.052303,1.396776,1700.431396,3
1465.235833,-1.427059,-2.284446,3231.255127,0
540.703479,-2.367387,2.770549,2913.196045,0
448.622834,-1.857427,0.939878,1478.824219,2
598.505723,2.438557,-0.459627,3457.329102,0
7140.732252,2.370149,-2.302232,38533.265625,1
3387.897099,2.462020,-2.415344,20012.359375,1
910.497710,2.367654,1.278417,4903.209473,0
1342.742850,-1.381252,1.548592,2844.096924,2
840.166032,-0.564313,0.623548,987.442322,0
11537.487939,-1.694614,0.693320,32468.023438,2
431.772363,2.124309,1.440085,1837.454956,0
812.901366,-1.765610,1.060413,2449.277344,3
3006.825237,-1.434328,1.745228,6669.246582,2
777.683306,-2.123437,1.996975,3300.114014,3
844.080876,-2.290741,2.008723,4215.730957,0
13876.351307,-1.689136,0.687056,38850.433594,2
2204.463261,-0.657131,-0.025084,2701.414062,0
449.900352,2.326887,-0.950636,2330.976074,0
1162.554285,1.290972,2.051478,2277.841797,0
630.685290,-1.541825,-2.368421,1547.418945,0
438.126941,1.989034,-2.312920,1636.953369,1
453.677900,-2.009294,-1.343248,1727.837524,0
719.538080,1.824882,-1.022697,2293.568848,0
411.235900,0.383268,1.528147,463.332825,0
572.309821,-1.687684,2.101966,1606.222778,2
1037.355860,2.099069,-2.368310,4297.512695,1
3231.307439,-1.821438,-2.525108,10248.285156,0
5151.874822,-1.697875,0.709385,14542.866211,2
