pT[MeV],eta,phi,E[MeV]
1488.836532,1.347416,-0.338574,3060.794922
7476.009668,0.006310,2.797534,7477.460938
657.861401,1.651838,-2.570733,1784.408569
1887.553919,0.070740,-1.004454,1897.418945
2095.046112,-0.222107,0.220731,2151.466797
549.729187,-0.658281,2.603705,687.516846
3762.126264,-0.100495,-1.001412,3783.714600
661.015037,-2.285447,0.990588,3285.502930
1933.818954,1.159279,1.036566,3388.360840
1933.598590,0.533778,-1.116440,2220.052246
2002.220779,-1.220006,-1.712679,3689.167725
1471.236260,-0.222838,0.406978,1514.361450
3261.106011,-0.742974,0.189180,4205.677734
560.604665,2.451935,-1.268407,3281.643799
1089.999250,0.818612,0.761163,1482.657715
2149.281074,1.016859,0.067381,3362.468262
1897.308293,0.018945,-3.123254,1902.774536
1312.595584,0.104447,-0.692507,1327.121338
725.044937,1.117209,1.155983,1234.510864
1182.904283,0.554645,0.317527,1376.659302
1024.777714,1.851709,0.886996,3347.615479
2154.104558,-0.387297,0.294028,2321.889648
650.506154,0.240440,-2.554415,683.795654
784.816459,0.602715,0.382825,942.128235
638.314751,0.272651,-1.180901,676.736694
783.345035,0.810276,-0.686246,1064.070801
519.000172,-0.363403,2.593041,570.970215
512.844616,1.692804,1.153973,1447.505371
1224.396249,0.246357,0.991397,1269.435913
721.683567,1.956613,-2.107502,2607.810547
986.397465,-0.024075,-2.691016,996.505798
2158.573841,-0.416505,0.010184,2352.670410
1442.838695,-0.387676,0.382049,1558.888184
604.210536,-2.260895,-2.704133,2932.515137
1534.306880,0.363064,-0.875298,1642.486084
3021.776934,-1.029969,-1.857796,4773.423340
4894.970491,-0.022529,-0.972987,4898.201660
3358.297425,-1.010991,-1.830412,5227.677734
