pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
5039.688062,2.458435,2.355635,29664.125000,1
9246.407991,0.822020,-0.343130,12551.084961,2
957.022772,-1.717428,1.727022,2754.839844,0
984.415155,-2.354650,1.404524,5233.719238,0
8199.153751,-0.119175,-1.692004,8258.626953,2
8079.950223,0.783231,-0.340611,10688.502930,2
1295.775469,2.292647,2.313911,6481.746582,1
11298.204738,0.796950,-0.481746,15080.722656,2
2160.397867,1.552159,2.249952,5330.929199,0
4659.767919,-0.073008,-1.711574,4674.276367,2
9539.532799,2.412616,2.230544,53672.964844,1
9868.675415,0.812323,-0.276012,13308.454102,2
3679.676957,1.417861,2.511158,8042.250488,0
1526.407533,2.321096,2.012989,7850.790039,1
2954.029155,0.134939,-1.168945,2984.229980,3
2333.267925,0.559387,-0.298349,2711.537842,2
975.608159,-1.438508,-2.873466,2176.031006,0
2719.231972,-1.492076,-2.799485,6352.601562,0
3046.301110,-0.299307,-1.337036,3186.831543,2
2207.668501,0.001905,-1.485213,2212.079834,2
445.344155,2.303859,2.388019,2256.120117,1
13216.279575,0.791266,-0.313278,17574.623047,2
540.724723,2.427227,-0.735731,3089.531250,0
445.930356,-2.458010,0.665671,2627.373047,0
501.324559,-0.961449,2.104718,764.292664,0
644.488932,2.437961,2.558749,3720.357910,1
932.485050,-2.458754,2.062364,5492.139648,0
1243.933388,-0.308451,-1.639438,1311.029785,2
992.625728,-0.024453,-1.660308,1002.683838,2
2532.148721,2.422185,2.142501,14382.253906,1
1303.094374,0.480672,-1.513918,1463.224121,3
557.120404,0.066721,-1.649995,575.540344,2
1314.052996,0.855524,-0.281527,1830.329590,2
5913.719465,-0.206707,-1.604664,6042.122070,2
855.884060,-0.502287,-3.003222,976.168579,0
407.933462,1.252313,-2.181949,784.381714,0
1161.515823,-0.171013,-1.645535,1186.777344,2
445.801783,1.364468,0.266697,939.731506,0
1551.486458,2.403025,2.293865,8648.344727,1
1933.553268,-1.572496,-2.458665,4861.205566,0
790.096416,2.366049,2.670911,4248.690430,1
759.776922,1.334696,1.581234,1549.435669,0
1022.885324,2.434683,2.943974,5883.155762,0
570.250375,-1.526657,-1.732884,1381.379150,0
631.091059,-1.531488,-2.462157,1534.002441,0
442.802275,1.640527,2.725238,1193.078369,0
533.219588,2.364874,2.239717,2865.898682,1
580.960090,-0.406991,0.259120,645.024658,0
484.660071,-1.361834,-0.034228,1017.597168,0
475.153154,-0.809016,2.778904,654.374451,0
980.944893,-0.240571,-1.828864,1019.070740,2
587.998753,2.127239,1.768509,2506.068359,0
405.113390,-1.832900,0.546445,1306.259399,0
1031.139276,0.090126,-1.816316,1044.695068,2
600.164146,2.345642,2.047352,3164.671387,1
599.239444,2.207600,2.287319,2761.179688,1
1177.107678,2.490286,2.588842,7150.888184,1
515.708858,-0.170404,-1.133900,541.510071,3
13263.626107,-0.110442,-1.631970,13345.330078,2
3934.162504,-0.129056,-1.587304,3969.425049,2
589.536715,-2.223508,1.092588,2759.002441,0
1043.816752,-0.117320,-1.476716,1060.235352,2
644.457481,1.711240,-2.113482,1847.289062,0
628.336310,0.667278,0.962597,785.982117,0
1046.814244,-0.090462,-1.783860,1060.326294,2
411.228985,-2.354336,0.077703,2189.332275,0
1666.072756,2.463960,2.499247,9861.098633,1
662.169312,1.939216,-2.178058,2353.886719,0
2492.273507,1.119451,-0.493994,4226.250488,2
554.963627,2.411160,2.126484,3121.072998,1
1602.053798,-0.243273,-1.284875,1655.587769,2
418.776759,2.206083,3.001132,1929.377441,0
452.800030,1.670864,2.974163,1254.087524,0
1442.081937,-1.518823,2.761019,3453.591797,0
451.983492,-1.976225,-1.800068,1667.803223,0
690.848323,-1.839607,0.431866,2233.369141,0
513.137814,-2.055099,-0.024731,2040.829102,0
3878.094761,2.441605,2.203560,22451.673828,1
5194.035385,2.407013,2.254552,29063.148438,1
568.441289,1.259904,-0.233834,1091.489990,3
408.558008,2.415666,1.349901,2309.822021,0
2384.575150,0.805485,-0.304074,3203.920654,2
2199.177631,2.498500,2.554661,13466.768555,1
