pT[MeV],eta,phi,E[MeV]
2291.873906,2.434633,-0.362322,13178.165039
927.870567,-2.282785,-0.356353,4597.838379
687.210843,-2.024609,-0.893716,2651.222168
1004.074985,2.170214,2.753800,4457.423828
599.109175,1.912323,0.126880,2076.574951
742.615405,-2.071719,-0.761643,2997.633789
682.015348,-2.113073,2.306247,2865.987793
1095.192632,-1.601316,1.558349,2829.691650
2589.400098,-1.608089,0.906654,6725.514160
689.616618,-2.243188,-1.361894,3288.795898
4162.920764,-2.152578,-1.991797,18157.541016
1842.018262,1.902051,-0.638096,6309.430664
1804.656664,-2.024350,0.784520,6952.276367
1267.325739,-0.835997,1.894204,1742.188110
1162.569313,-0.475545,-2.960831,1304.009766
1020.019932,2.148672,-0.277210,4434.236328
1839.893452,1.621460,-0.572769,4839.170898
696.813230,0.305448,2.325654,742.802795
567.108930,0.888474,0.829317,818.053955
2676.545026,-0.380336,2.817224,2875.867432
1236.777551,-1.614028,1.825494,3232.295410
1888.917317,0.136776,0.293518,1911.715210
1859.527007,-1.287234,0.062151,3627.633057
747.726309,2.345268,2.974400,3939.958496
763.841789,2.305879,0.506970,3872.392334
927.576273,0.494805,0.713085,1052.755249
2394.436227,-0.530690,-2.884021,2743.151855
1984.091846,0.050226,3.088072,1991.491699
582.256106,2.355326,0.666072,3099.705322
556.075428,-0.299626,1.156012,597.746521
913.373471,0.628212,-0.664035,1108.433228
1098.968733,2.134163,3.053720,4710.225098
578.577930,2.061839,-1.339175,2314.945068
594.189646,-1.394539,-0.032975,1279.516479
841.322092,2.245371,-0.090712,4019.656738
536.543277,-1.887042,-1.984824,1816.561401
564.229098,-0.955395,-1.962144,853.420593
618.562619,2.054712,1.468176,2457.408447
663.869452,1.292859,1.318333,1307.879639
559.154611,-0.617888,1.126422,683.729614
572.757008,0.188251,-1.845553,599.411316
585.940316,-1.847360,0.469071,1909.619751
748.228879,-0.471204,-2.106168,844.456787
1383.294445,-0.943888,-1.578498,2051.382568
825.622048,-2.248263,3.018086,3955.893066
547.285610,0.604456,-0.232785,665.154968
735.843122,1.744214,-1.821717,2173.818848
1051.570685,-2.243824,-1.852585,5015.499512
995.441476,-2.210786,-1.956299,4597.323242
2048.613276,0.261321,-1.991916,2123.552002
1680.034882,-0.777854,-0.981212,2218.836914
610.485738,0.799917,-1.085585,828.283997
737.368939,1.697691,-2.181983,2085.688965
833.437972,-1.811185,-0.123843,2621.193359
567.198812,-0.280234,2.761137,605.910156
1233.814004,2.157506,3.095542,5409.085938
638.602744,-1.173362,-0.332790,1139.598145
1521.453394,1.943202,0.091870,5421.450684
