pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
1017.626984,-2.066400,-1.601966,4084.587402,0
1185.357840,2.266122,-1.431794,5777.728516,0
1163.048806,-2.151769,2.233982,5070.681641,1
487.225508,2.392234,-0.585758,2690.507080,0
826.502343,-2.125405,1.924073,3513.621826,1
863.433457,2.146455,0.088694,3746.180664,1
1016.131969,-0.895307,2.414828,1458.021118,0
856.976217,-1.383868,-2.267000,1822.532837,0
1791.295388,-1.846101,1.889397,5817.047852,1
29816.838891,-0.887578,-0.959744,42353.429688,2
12954.029754,-1.821027,2.012482,41064.878906,1
13746.959210,0.345787,-1.950502,14577.703125,2
13968.059247,-0.843954,-0.891357,19245.349609,2
3575.889479,-0.843876,-0.907368,4928.485352,2
623.904895,-2.019717,-1.412049,2396.395752,0
1809.807003,0.490089,1.282431,2036.326904,0
7362.904315,-0.858548,-0.867621,10248.307617,2
5809.004410,-0.864673,-0.958323,8120.498535,2
3518.252758,-1.802842,1.996079,10963.226562,1
1787.954834,-0.982043,-1.425278,2725.245361,3
1819.994583,-0.843808,-1.278334,2511.173096,2
1136.251192,-0.738343,-2.997901,1466.947998,0
3030.534343,-1.816287,1.946628,9564.798828,1
854.711139,1.686206,-1.809549,2390.508545,0
434.558179,2.339691,-0.268549,2280.141602,1
23767.248861,-1.821117,2.035094,75349.421875,1
3772.887289,-0.569790,-2.779734,4404.303711,0
893.004164,1.223561,-1.620146,1655.030029,0
849.145460,0.850563,2.213474,1183.534546,0
2751.110174,0.635896,1.869882,3329.259277,0
810.016873,-1.396330,-2.949733,1742.213867,0
1526.192900,0.016385,-1.276719,1532.765503,3
1109.843140,-0.492341,-1.232894,1254.881104,3
2045.348787,-1.848336,2.221845,6655.745605,1
749.964593,2.098279,0.140480,3106.037598,0
405.204554,1.318228,-1.708301,823.218933,0
667.793135,-1.744230,3.049770,1973.687378,0
14105.279105,-1.826606,2.024599,44951.800781,1
585.817846,-0.200545,-0.536885,613.718628,3
446.898331,2.453056,-0.817034,2620.274414,0
1155.433172,2.479086,0.004301,6942.193359,1
7103.347014,-1.834133,2.020086,22800.246094,1
634.649622,-1.511470,0.279173,1514.997070,0
453.640385,-1.620312,-1.462144,1199.521484,0
499.813122,-0.600051,-2.316328,608.743408,3
603.886799,-0.706597,-0.225478,773.711060,0
6813.634159,-1.822573,2.036393,21631.578125,1
8371.135431,-1.901746,2.090409,28658.433594,1
480.801922,-0.639860,2.512935,599.115356,0
406.094495,2.349086,-0.132709,2151.036865,1
689.297418,-0.027516,1.810024,703.541443,0
1110.767318,-0.402995,-2.313516,1210.266235,3
458.326611,1.863935,1.302595,1519.844604,0
527.950239,0.604969,-0.658827,642.877808,0
519.191558,-0.750029,-1.427367,686.537720,3
893.903300,2.499096,-0.009747,5478.562500,1
515.607027,1.209761,1.594119,951.520386,0
507.563018,2.359958,1.288999,2715.228271,0
1780.212583,-1.075504,-0.664647,2916.299316,2
778.049049,-1.092055,-0.607274,1297.502075,2
533.889956,-1.130363,-2.425201,923.478699,0
2045.750106,0.477048,-2.146639,2287.240967,2
705.850450,-1.161090,-0.355545,1245.397705,0
694.025252,-2.084350,1.913485,2836.361328,1
33874.311720,-1.839355,2.034470,109268.445312,1
601.356987,1.525086,0.930046,1453.922241,0
413.240152,-1.066208,-1.562843,685.594727,3
495.108954,1.818999,-1.063413,1572.697510,0
489.873499,-0.544635,-0.754917,581.345032,2
