pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
592.810955,2.226441,0.287250,2782.226562,0
1260.973170,-2.254853,2.414227,6078.725586,0
442.812484,-2.166493,0.134686,1962.687744,0
871.851687,2.430921,-2.383333,4996.482422,0
9367.882980,0.041367,3.121568,9376.938477,1
548.162371,1.891712,-1.908367,1863.920532,0
2760.373145,0.187148,-3.018636,2812.319824,1
7415.909652,0.800428,-2.493639,9922.100586,0
695.354714,1.425930,-0.231608,1536.830811,0
15471.675904,-0.012658,-3.111554,15473.544922,1
9685.033218,0.063339,-3.130126,9705.470703,1
1221.721570,-2.211273,-3.134232,5644.181152,0
14658.532465,-1.677720,2.015277,40605.355469,2
3704.973423,-0.726212,-2.016804,4727.704102,0
14501.025497,-0.009270,3.100159,14502.320312,1
2939.633852,-1.377874,1.061024,6202.099609,3
9473.736580,-1.770204,1.910620,28622.152344,2
25670.881415,-1.046870,0.446894,41070.519531,2
11759.900067,-1.628770,1.966926,31127.419922,2
408.106899,-1.629382,-2.340398,1089.798462,0
5255.547256,-0.897768,-1.826772,7520.927246,0
1249.125518,0.149072,-2.124315,1270.718750,0
1396.633702,-2.186487,-2.580777,6297.700684,0
1321.396918,1.614230,-0.287228,3453.688965,0
9742.181706,-1.111697,0.499495,16408.921875,2
1313.560540,-2.150810,-0.976150,5721.079102,0
2190.136479,0.796345,-2.651120,2925.407227,0
884.627816,2.324647,2.684713,4567.204590,0
2935.439916,-0.940709,0.862260,4335.175293,2
1604.721585,-0.716189,-1.008341,2038.951294,0
611.042512,-1.192758,-1.417030,1108.557617,0
1311.264523,1.990231,2.996110,4889.000488,0
1924.567717,-1.658520,2.203065,5238.562500,2
838.407966,1.301619,0.167749,1660.613892,0
3728.093218,0.009654,-3.121960,3730.878418,1
475.722413,-1.417198,-0.758185,1048.295532,0
2026.288165,-1.994445,1.083788,7583.869141,3
1337.674886,-1.524398,2.170435,3220.219971,2
998.715845,0.476533,-2.857698,1122.980957,0
557.177977,0.442686,-2.871482,628.367126,0
1782.039341,-0.927529,0.299417,2608.885254,2
1293.188566,0.132908,-2.644295,1312.071655,0
426.814819,-1.592859,3.006773,1101.764038,0
715.824825,1.373376,0.599884,1510.378174,0
1630.851345,0.449644,-2.436632,1803.917480,0
1118.174741,-1.789454,0.649297,3443.024414,3
567.858091,0.409587,-1.999716,631.769714,0
608.175951,-1.716015,-2.958218,1751.672607,0
459.953494,1.456810,2.013416,1050.013794,0
431.670732,-0.721509,-2.007264,566.452576,0
649.560804,-0.529898,-1.936215,755.907410,0
822.842290,-1.920677,1.508498,2871.855957,3
891.671908,2.026399,-0.205123,3444.025146,0
568.012120,-1.195626,0.649582,1034.194824,2
542.656850,1.789999,0.159322,1676.229614,0
1044.416341,1.244494,-2.771253,1968.073242,0
440.278084,0.037133,-2.911109,462.160126,1
3417.443229,-1.037971,0.444446,5431.519531,2
1041.117892,-1.348741,1.267613,2145.156494,3
434.304323,1.097957,-1.087656,736.801331,0
526.224121,0.707593,-2.510522,678.070007,0
6478.187209,-1.118343,0.544623,10970.402344,2
605.371982,2.496146,1.957201,3700.860107,0
490.196949,-1.170760,0.854474,877.489746,2
3800.580665,-0.517870,0.725192,4323.963867,3
681.933403,-0.710025,-2.368699,872.407715,0
721.014437,-0.358644,0.087681,780.465027,0
711.669142,-0.877940,-3.062398,1013.669189,0
514.918790,0.198903,0.814340,543.368896,0
1563.327997,-0.308516,-2.228721,1644.254639,0
1173.259755,-0.178645,-1.501119,1200.174438,0
446.146655,-0.984748,-2.818510,694.688232,0
651.970334,-0.140024,-0.875837,673.003601,0
814.940061,2.078410,-1.719587,3310.330078,0
624.950940,2.238945,0.015949,2968.675537,0
2005.018936,-1.539725,1.761313,4891.978027,2
1633.248347,1.385011,0.749828,3469.532715,0
1183.337881,0.482283,3.043251,1330.984375,0
576.541447,-1.102657,-1.866650,974.070557,0
664.802103,-0.071853,1.362640,680.975342,0
737.702826,-1.225912,-2.154758,1372.148193,0
