pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
16068.718035,0.637110,3.108029,19442.257812,2
543.872263,2.272660,-0.062618,2670.858887,0
503.782918,2.224802,0.984427,2361.765137,0
2764.312463,-1.416730,0.088864,6036.270996,1
2181.606447,-1.403837,0.133739,4710.458984,1
1130.610945,1.765895,-2.167055,3404.778320,0
28853.621503,0.681811,-0.604241,35824.289062,1
47335.093191,0.594810,3.065627,55958.617188,2
22724.205719,0.691645,-0.581724,28380.029297,1
13088.798946,-1.133161,0.016759,22431.177734,1
9784.202455,-1.159684,0.051157,17135.201172,1
5046.204366,-0.080024,3.097072,5064.294434,2
10957.670787,-0.576490,-0.550073,12830.260742,0
6727.578916,-0.595449,-0.481766,7957.126465,0
4966.967853,-0.126260,2.748496,5008.556152,2
4388.414598,0.497869,2.982675,4945.597168,2
4774.153723,-0.244693,2.698791,4919.773438,2
464.998189,1.870158,2.275521,1550.882935,0
7479.376046,-0.226587,2.663023,7673.470703,2
6300.819554,1.497395,-1.818599,14787.874023,0
4148.623504,-1.390313,0.188614,8848.257812,1
5074.479401,0.539275,3.064879,5832.080078,2
6282.990234,-1.168470,-0.041150,11083.784180,1
3781.041352,0.785270,-0.548909,5009.924805,1
6089.918151,0.588660,3.089524,7177.239746,2
5544.415601,-0.038727,2.877822,5550.329102,2
1407.493586,1.379065,-1.680965,2975.197998,0
3566.842612,0.163914,2.828966,3617.560059,2
3074.835762,1.321432,-1.758279,6175.136719,0
3698.435087,-0.123886,2.947719,3729.465332,2
2055.317595,0.854601,-0.323731,2856.080322,1
5536.665418,0.074286,2.869105,5553.703613,2
3445.547935,-0.649758,-0.526616,4201.149414,0
1442.206652,-1.520483,0.585713,3459.094238,0
1745.645018,0.554228,3.103553,2025.496094,2
3074.381235,-1.367285,-0.014946,6426.170410,1
927.303690,0.964182,-0.533949,1399.756470,1
1513.970821,0.960292,-0.671506,2271.644287,1
2198.346438,-1.666707,1.598079,6029.009766,0
1267.671284,0.814067,-0.258872,1717.115356,1
1083.188887,-1.536327,-1.156397,2637.284912,0
2564.611400,-1.425493,0.574068,5644.253418,0
2322.277337,1.459498,-1.972523,5268.948242,0
8389.174438,-0.274764,2.697003,8708.961914,2
1800.836041,-0.574986,-0.648356,2111.432373,0
1397.670485,-0.643767,-0.208566,1703.162720,0
1031.616665,0.502784,-0.812757,1173.110840,1
1056.452094,0.005489,-2.909061,1065.647339,3
512.349264,-2.263762,0.602701,2494.737061,0
883.095055,0.221480,2.650099,915.544006,3
6553.159710,-1.087742,-0.033413,10828.495117,1
762.797817,0.706084,-2.852531,971.060852,2
1915.908066,-1.368087,-0.000703,4008.998535,1
816.855262,0.138287,3.009543,836.405334,3
713.275001,-1.252827,2.242624,1357.395752,0
985.807802,-1.735670,0.723001,2886.376221,0
763.678625,-0.466272,-1.406575,859.615112,0
1067.563711,-1.367750,0.176887,2236.201416,1
730.858501,-1.426937,0.312733,1616.105835,1
502.382061,0.002114,-0.552666,521.410278,0
583.113448,-1.709984,-2.836978,1670.553711,0
618.458062,-1.283557,-0.084666,1209.897583,1
2999.602470,0.504993,-0.543827,3393.147217,1
3977.798061,-1.093907,-0.037123,6606.253906,1
3302.572509,0.728098,-0.467449,4219.634766,1
6356.807418,0.696362,-0.593052,7962.598633,1
2205.975701,-0.197563,2.827113,2253.493164,2
451.082536,0.121421,-1.362378,475.362885,0
531.108881,1.515286,-2.590504,1274.484497,0
494.421981,-2.386686,2.767436,2715.324707,0
1369.887918,-1.233470,0.387001,2554.822510,1
687.982983,-1.899736,-3.026424,2354.888184,0
807.085761,0.480940,-0.532183,912.971252,1
624.674180,-1.084977,1.090031,1039.277710,0
1145.590632,0.811173,-0.485170,1549.913330,1
536.675621,0.007951,-0.071464,554.543701,0
5045.582115,0.605912,-3.101038,6002.082031,2
609.693528,0.823950,-0.443976,840.300903,1
1634.597315,-1.867068,-0.227705,5415.482910,0
550.699687,-1.853110,-0.328279,1805.194824,0
738.368131,-1.085554,-0.050224,1225.834106,1
828.775872,0.664273,-0.620429,1027.970459,1
3431.353407,1.488751,-1.921366,7991.485840,0
728.148525,-1.107502,-1.166169,1230.202393,0
995.907812,1.037122,3.022949,1587.430054,3
1941.930565,-1.216121,-0.032767,3566.612793,1
1168.305438,-1.401416,0.047720,2519.927246,1
1621.464946,-1.925943,1.487686,5682.802246,0
2279.750961,-1.936738,1.267498,8071.820801,0
10928.001229,-0.176706,2.735427,11099.937500,2
